,Ax,Ay,Az,Gx,Gy,Gz,distance,shot_type
1940,0.55859375,-0.17578125,0.133544921875,10.335877862595419,5.145038167938932,-55.7557251908397,150,4
1941,0.493896484375,-0.21142578125,0.12890625,26.610687022900763,10.732824427480915,-55.12977099236641,150,4
1942,0.489013671875,-0.2138671875,0.12841796875,50.35114503816794,13.465648854961833,-64.09160305343511,150,4
1943,0.501953125,-0.2294921875,0.12841796875,65.6793893129771,17.72519083969466,-73.23664122137404,150,4
1944,0.53173828125,-0.244873046875,0.185302734375,71.45038167938931,28.259541984732824,-77.77099236641222,150,4
1945,0.57421875,-0.264892578125,0.10791015625,73.7557251908397,35.099236641221374,-80.76335877862596,150,4
1946,0.611328125,-0.29345703125,0.107666015625,76.3206106870229,33.74045801526717,-71.12977099236642,150,4
1947,0.67138671875,-0.374755859375,0.110595703125,72.44274809160305,39.32824427480916,-58.656488549618324,150,4
1948,0.737060546875,-0.3125,0.100830078125,53.404580152671755,49.83206106870229,-54.33587786259542,150,4
1949,0.77880859375,-0.313232421875,0.0927734375,17.099236641221374,52.412213740458014,-40.412213740458014,150,4
1950,0.830810546875,-0.32177734375,0.07861328125,-2.4122137404580153,55.770992366412216,-28.458015267175572,150,4
1951,0.858642578125,-0.3310546875,0.05322265625,-11.022900763358779,57.083969465648856,-19.984732824427482,150,4
1952,0.88525390625,-0.32421875,0.057861328125,-15.236641221374045,60.732824427480914,-14.717557251908397,150,4
1953,0.906494140625,-0.33447265625,0.059326171875,-13.450381679389313,55.12977099236641,-11.32824427480916,150,4
1954,0.938720703125,-0.33740234375,0.0244140625,-8.381679389312977,59.19083969465649,-8.412213740458014,150,4
1955,0.9716796875,-0.3271484375,0.014404296875,-7.679389312977099,56.12213740458015,-12.732824427480915,150,4
1956,0.997802734375,-0.34521484375,0.007080078125,11.83206106870229,54.58015267175573,-4.961832061068702,150,4
1957,1.013916015625,-0.35009765625,0.009765625,30.549618320610687,44.68702290076336,1.83206106870229,150,4
1958,1.025634765625,-0.3359375,0.02587890625,32.213740458015266,42.916030534351144,6.076335877862595,150,4
1959,1.009765625,-0.330078125,0.015869140625,24.33587786259542,32.94656488549618,11.435114503816793,150,4
1960,0.981689453125,-0.325927734375,0.013427734375,18.045801526717558,28.732824427480917,20.885496183206108,150,4
1961,0.926513671875,-0.322998046875,0.015380859375,13.083969465648854,24.458015267175572,29.72519083969466,150,4
1962,0.8681640625,-0.30712890625,0.02587890625,6.427480916030534,23.49618320610687,34.68702290076336,150,4
1963,0.80859375,-0.29638671875,0.02587890625,-1.1755725190839694,19.64885496183206,38.93129770992366,150,4
1964,0.763427734375,-0.279052734375,0.0380859375,-4.137404580152672,23.221374045801525,41.083969465648856,150,4
1965,0.71923828125,-0.26220703125,0.031005859375,-12.16793893129771,24.595419847328245,39.93893129770992,150,4
1966,0.694091796875,-0.252685546875,0.03466796875,-12.244274809160306,26.396946564885496,35.87786259541985,150,4
